List of GSM companies w.e.f 06.06.2019,,
Sr. No.,Security Name,ISIN
138,Crazy Infotech Ltd,INE664B01021
139,Crescent Leasing Ltd,INE767G01013
140,Crestchem Ltd,INE293N01016
141,Cura Technologies Ltd,INE117B01012
142,Cyberscape Multimedia Ltd,INE519B01019
143,Dalmia Industrial Development Ltd,INE642P01019
144,Unimode Overseas Ltd,INE348N01034
145,Datasoft Application Software India Ltd,INE072B01019
146,Datiware Maritime Infra Ltd,INE673U01014
147,Dazzel Confindive Ltd,INE149E01027
148,DCM Financial Services Ltd,INE891B01012
149,Deccan Bearings Ltd,INE498D01012
150,Decillion Finance Ltd,INE848N01017
151,Decorous Investment & Trading Co Ltd,INE183R01010
152,Deepti Alloy Steel Ltd,INE360S01012
153,Delta Industrial Resources Ltd,INE681Q01015
154,Delton Cables Ltd,INE872E01016
155,Woodsvilla Ltd,INE374J01020
156,Devhari Exports (India) Ltd,INE553P01018
157,Devine Impex Ltd,INE455C01014
158,Dharani Finance Ltd,INE899D01011
159,Dhruv Estates Ltd,INE780E01011
160,Dhruva Capital Services Ltd,INE972E01014
161,Dion Global Solutions Ltd,INE991C01034
162,Disha Resources Ltd,INE193D01019
163,Divinus Fabrics Ltd,INE478P01018
164,DMC Education Ltd,INE585D01024
165,DSJ Communications Ltd,INE055C01020
166,Dwitiya Trading Ltd,INE222P01028
167,e.com Infotech India Ltd,INE578B01015
168,East Buildtech Ltd,INE706N01017
169,Eastcoast Steel Ltd,INE315F01013
170,Eastern Silk Industries Ltd,INE962C01027
171,Ecoboard Industries Ltd,INE866A01016
172,Educomp Solutions Ltd,INE216H01027
173,Ejecta Marketing Ltd,INE649L01013
174,Ekam Leasing & Finance Company Ltd,INE906L01017
175,Elango Industries Ltd,INE594D01018
176,EMA India Ltd,INE279D01016
177,Emed.com Technologies Ltd,INE379F01019
178,Emerald Leisures Ltd,INE044N01013
179,Emmsons International Ltd,INE073C01015
180,Empee Sugars & Chemicals Ltd,INE928B01012
181,EPIC Energy Ltd,INE932F01015
182,Epsom Properties Ltd,INE601F01016
183,Escorts Finance Ltd,INE359A01012
184,Esha Media Research Ltd,INE328F01016
185,Eskay KnIT India Ltd,INE220A01032
186,Essar Securities Ltd,INE143K01019
187,Euro Asia Exports Ltd,INE535P01015
188,Euro Ceramics Ltd,INE649H01011
189,Euro Multivision Ltd,INE063J01011
190,Evergreen Textiles Ltd,INE229N01010
191,Everlon Synthetics Ltd,INE339D01034
192,Explicit Finance Ltd,INE335G01019
193,F Mec International Financial Services Ltd,INE108T01013
194,Facor Steels Ltd,INE829G01011
195,FGP Ltd,INE512A01016
196,Filmcity Media Ltd,INE600B01033
197,Fine Line Circuits Ltd,INE087E01011
198,Flora Corporation Ltd,INE318U01016
199,Flora Textiles Ltd,INE161F01011
200,Fortune International Ltd,INE501D01013
201,Fourth Generation Information Systems Ltd,INE739B01039
202,Fraser and Company Ltd,INE184Q01010
203,Frontier Capital Ltd,INE977E01013
204,Frontier Informatics Ltd,INE547B01028
205,Fruition Venture Ltd,INE836C01015
206,Futuristic Securities Ltd,INE425D01015
207,ISL Consulting Ltd,INE569B01022
208,Gagan Gases Ltd,INE076D01016
209,Gajanan Securities Services Ltd,INE868G01019
210,Gajra Bevel Gears Ltd,INE282D01010
211,Galada Finance Ltd,INE243E01010
212,Galada Power & Telecommunication Ltd,INE255C01018
213,Galaxy Cloud Kitchens Ltd,INE403B01016
214,Ganesh Holdings Ltd,INE932M01011
215,Gangotri Iron & Steel Company Ltd,INE437F01023
216,Garg Furnace Ltd,INE194E01015
217,Garware Synthetics Ltd,INE340D01016
218,Gayatri BioOrganics Ltd,INE052E01015
219,Gayatri Tissue & Papers Ltd,INE661K01010
220,GDL Leasing & Finance Ltd,INE545E01018
221,Gemini Communication Ltd,INE878C01033
222,Danube Industries Ltd,INE575D01033
223,Genesis Ibrc India Ltd,INE194N01016
224,Genus Commu Trade Ltd,INE577B01017
225,Girdharilal Sugar & Allied Industries Ltd,INE310M01010
226,GK Consultants Ltd,INE131D01019
227,Global Land Masters Corporation Ltd,INE330B01011
228,Globe Commercials Ltd,INE804Q01013
229,Globus Corpooration Ltd,INE774B01028
230,Gold Coin Health Foods Ltd,INE634J01019
231,Golden Capital Services Ltd,INE135D01010
232,Golden Carpets Ltd,INE595D01015
233,Gontermann Peipers India Ltd,INE530A01026
234,Gopal Iron & Steels Company Gujarat Ltd,INE641H01018
235,Govind Rubber Ltd,INE011C01015
236,Goyal Associates Ltd,INE912B01032
237,GR Cables Ltd,INE769B01010
238,G-Tech Info-Training Ltd,INE634D01038
239,GTN Textiles Ltd,INE302H01017
240,Gujarat Carbon & Industries Ltd,INE462C01010
241,Gujarat Foils Ltd,INE587F01017
242,Gujarat Lease Financing Ltd,INE540A01017
243,Gujarat Meditech Ltd,INE010M01016
244,Gujarat Toolroom Ltd,INE145J01024
245,Gujchem Distillers India Ltd,INE218N01013
246,Harmony Capital Service Ltd,INE264N01017
247,Hazoor Multi Projects Ltd,INE550F01023
248,HCKK Ventures Ltd,INE345Q01017
249,HealthFore Technologies Ltd,INE402L01017
250,Heera Ispat Ltd,INE025D01013
251,Hemang Resources Ltd,INE930A01010
252,Hemo Organic Ltd,INE422G01015
253,High Street Filatex Ltd,INE319M01011
254,Hilton Metal Forging Ltd,INE788H01017
255,Himalaya Granites Ltd,INE464C01016
256,Himalchuli Food Products Ltd,INE552N01015
257,Hindustan Bio Sciences Ltd,INE597C01013
258,Hindustan Motors Ltd,INE253A01025
259,Hipolin Ltd,INE963A01011
260,Hit Kit Global Solutions Ltd,INE309B01023
261,Hotel Rugby Ltd,INE275F01019
262,HRB Floriculture Ltd,INE284D01016
263,Hypersoft Technologies Ltd,INE039D01014
264,IB Infotech Enterprises Ltd,INE678B01021
265,ICSA (India) Ltd,INE306B01029
266,IFL Promoters Ltd,INE326D01031
267,IGC Industries Ltd,INE099S01016
268,IITL Projects Ltd,INE786E01018
269,IKF Technologies Ltd,INE052C01027
