List of GSM companies w.e.f 06.06.2019,,
Sr. No.,Security Name,ISIN
606,Sanjivani Paranteral Ltd,INE860D01013
607,Santosh Fine Fab Ltd,INE612D01018
608,Saptarishi Agro Industries Ltd,INE233P01017
609,Sarda Papers Ltd,INE385D01011
610,Sarda Proteins Ltd,INE995U01011
611,Savani Financials Ltd,INE304E01010
612,Savant Infocomm Ltd,INE898E01011
613,SC Agrotech Ltd,INE895E01017
614,Scandent Imaging Ltd,INE146N01016
615,Schablona India Ltd,INE024C01026
616,Scintilla Commercial & Credit Ltd,INE892C01018
617,Sea Gold Aqua Farms Ltd,INE428P01013
618,Sea TV Network Ltd,INE351L01016
619,Seasons Furnishings Ltd,INE454D01015
620,Secunderabad Healthcare Ltd,INE930C01016
621,Sellwin Traders Ltd,INE195F01019
622,Senbo Industries Ltd,INE792C01010
623,Senthil Infotek Ltd,INE564B01015
624,Servoteach Industries Ltd,INE185D01015
625,Sezal Glass Ltd,INE955I01036
626,SFL International Ltd,INE320C01010
627,Sai Capital Ltd,INE531X01018
628,Shaba Chemicals Ltd,INE06DM01015
629,Shalimar Agencies Ltd,INE631E01016
630,Shantai Industries Ltd,INE408F01016
631,Sharanam Infraproject and Trading Ltd,INE104S01022
632,Sharp India Ltd,INE207B01011
633,Sharp Investments Ltd,INE909D01026
634,Shashank Traders Ltd,INE508R01018
635,Shekhawati Poly Yarn Ltd,INE268L01020
636,Sheshadri Industries Ltd,INE193R01019
637,Shah Construction Company Ltd,INE02C301011
638,Shilpi Cable Technologies Ltd,INE510K01019
639,Shiva Medicare Ltd,INE875N01028
640,Shivagrico Implements Ltd,INE092H01014
641,Shivamshree Businesses Ltd,INE857P01021
642,Shree Bhawani Paper Mills Ltd,INE688C01010
643,Shree Ganesh Biotech (India) Ltd,INE051N01018
644,Shree Ganesh Elastoplast Ltd,INE400N01017
645,Shree Ganesh Forgings Ltd,INE883G01018
646,Shree Manufacturing Company Ltd,INE632A01012
647,Shree Nidhi Trading Co. Ltd,INE066E01015
648,Shree Pacetronix Ltd,INE847D01010
649,Shree Salasar Investments Ltd,INE315N01017
650,Shreyas Intermediates Ltd,INE115F01017
651,Shri Niwas Leasing And Finance Ltd,INE201F01015
652,Shricon Industries Ltd,INE753D01010
653,Shriram Asset Management Company Ltd,INE777G01012
654,Shukra Bullions Ltd,INE561E01015
655,Shyam Telecom Ltd,INE635A01023
656,Shyama Infosys Ltd,INE861E01019
657,Shyamkamal Investments Ltd,INE203N01015
658,Siddha Ventures Ltd,INE140C01012
659,Sidh Automobiles Ltd,INE403L01015
660,Siel Financial Services Ltd,INE027F01014
661,Sikozy Realtors Ltd,INE528E01022
662,Silicon Valley Infotech Ltd,INE913A01024
663,Silver Oak India Ltd,INE870J01019
664,Silveroak Commercials Ltd,INE798C01017
665,Silverpoint Infratech Ltd,INE890N01019
666,Simplex Mills Company Ltd,INE457H01019
667,Simplex Papers Ltd,INE456H01011
668,Specular Marketing & Financing Ltd,INE808W01012
669,Sinnar Bidi Udyog Ltd,INE896E01015
670,SIP Industries Ltd,INE186B01017
671,Sir Shadi Lal Enterprises Ltd,INE117H01019
672,Sita Shree Food Products Ltd,INE686I01011
673,Skyline Ventures India Ltd,INE055Q01012
674,SM Energy Teknik & Electronics Ltd,INE540D01011
675,Smiths & Founders (India) Ltd,INE728B01032
676,SMS Techsoft (India) Ltd,INE648B01024
677,Sobhagya Mercantile Ltd,INE754D01018
678,Sofcom Systems Ltd,INE499Q01012
679,Softbpo Global Services Ltd,INE459E01012
680,Solid Carbide Tools Ltd,INE161C01026
681,Solis Marketing Ltd,INE717P01027
682,Soma Textiles & Industries Ltd,INE314C01013
683,Sonal Adhesives Ltd,INE344I01017
684,Soni Medicare Ltd,INE848R01018
685,Source Industries (India) Ltd,INE695C01015
686,South Asian Enterprises Ltd,INE118B01010
687,Southern Ispat and Energy Ltd,INE943B01029
688,Southern Latex Ltd,INE410M01018
689,Southern Online Bio Technologies Ltd,INE371B01015
690,Sowbhagya Media Ltd,INE826D01014
691,SP Capital Financing Ltd,INE102F01015
692,Sparc Systems Ltd,INE960B01015
693,Sparkling (India) Finshares Ltd,INE181T01010
694,Speciality Papers Ltd,INE260F01011
695,Spectra Industries Ltd,INE848B01012
696,Spectrum Foods Ltd,INE547C01018
697,Suvidha Infraestate Corporation Ltd,INE936N01010
698,Spentex Industries Ltd,INE376C01020
699,Spice Islands Apparels Ltd,INE882D01017
700,Spring Fields Infraventure Ltd,INE717F01010
701,Square Four Projects India Ltd,INE716K01012
702,SR Industries Ltd,INE329C01011
703,Cella Space Ltd,INE266H01014
704,Sreechem Resins Ltd,INE377C01010
705,Sri Lakshmi Saraswathi Textiles Arni Ltd,INE456D01010
706,Sri Ramakrishna Mills Coimbatore Ltd,INE306D01017
707,Sri Vajra Granites Ltd,INE047H01018
708,SRM Energy Ltd,INE173J01018
709,SS Organics Ltd,INE102E01018
710,Standard Shoe Sole and Mould (India) Ltd,INE888N01013
711,Starlit Power Systems Ltd,INE909P01012
712,Steel Strips Infrastructures Ltd,INE205F01016
713,Steelco Gujarat Ltd,INE629B01024
714,Stellant Securities (India) Ltd,INE395F01023
715,Sterling Guaranty & Finance Ltd,INE668Y01016
716,Sterling Powergensys Ltd,INE067E01013
717,Subhash Silk Mills Ltd,INE690D01014
718,Sudal Industries Ltd,INE618D01015
719,Sujala Trading & Holdings Ltd,INE029H01016
720,Sujana Universal Industries Ltd,INE216G01011
721,Sumeru Industries Ltd,INE764B01029
722,Sun Source India Ltd,INE320F01013
723,Sunbright Stock Broking Ltd,INE476D01026
724,Sungold Capital Ltd,INE271D01013
725,Sunitee Chemicals Ltd,INE714C01022
726,Sunraj Diamond Exports Ltd,INE459D01014
727,Super Domestic Machines Ltd,INE215Q01012
728,Superb Papers Ltd,INE311N01016
729,Superior Finlease Ltd,INE574R01010
730,Supra Pacific Management Consultancy Ltd,INE268T01015
731,Supra Trends Ltd,INE533B01028
732,Supremex Shine Steels Ltd,INE175N01023
733,Surana Corporation Ltd,INE357D01010
734,Suryachakra Power Corporation Ltd,INE274I01016
735,Suryakrupa Finance Ltd,INE381N01019
736,Suryo Foods & Industries Ltd,INE565E01016
737,Terraform Magnum Ltd,INE122V01010
738,SVA India Ltd,INE763K01014
739,Svarnim Trade Udyog Ltd,INE730R01034
740,Swagruha Infrastructure Ltd,INE587J01027
741,Swarna Securities Ltd,INE595G01018
742,Sword & Shield Pharma Ltd,INE722B01019
743,Syncom Healthcare Ltd,INE602K01014
744,T Spiritual World Ltd,INE541C01037
745,Tamilnadu Jai Bharath Mills Ltd,INE868H01017
746,Tara Jewels Ltd,INE799L01016
747,Tarai Foods Ltd,INE906C01016
748,TCI Industries Ltd,INE920B01019
749,Terraform Realstate Ltd,INE123V01018
750,Tivoli Construction Ltd,INE747V01014
751,Thakral Services India Ltd,INE190F01028
752,Thambbi Modern Spinning Mills Ltd,INE830D01016
753,Thirdwave Financial Intermediaries Ltd,INE528C01018
754,Thomas Scott (India) Ltd,INE480M01011
755,Tirupati Fincorp Ltd,INE642O01012
756,Tirupati Tyres Ltd,INE812Q01016
757,Transoceanic Properties Ltd,INE074J01018
758,Total Exports Ltd,INE109E01013
759,Towa Sokki Ltd,INE311M01018
760,TPI India Ltd,INE578C01021
761,Trans Asia Corporation Ltd,INE321C01018
762,Trans Financial Resources Ltd,INE404B01014
763,Trans Freight Containers Ltd,INE360D01014
764,Transglobe Foods Ltd,INE213P01019
765,Twin Roses Trades & Agencies Ltd,INE436U01016
766,TRC Financial Services Ltd,INE759D01017
767,Tribhuvan Housing Ltd,INE884D01039
768,Tricom Fruit Products Ltd,INE843F01014
769,Trident Tools Ltd,INE179D01018
770,Trijal Industries Ltd,INE454E01013
771,Trimurthi Ltd,INE314I01036
772,Trishakti Electronics & Industries Ltd,INE238C01014
773,Triton Corp Ltd,INE982C01033
774,Triveni Enterprises Ltd,INE916P01025
775,Trombo Extractions Ltd,INE850O01011
776,TSL Industries Ltd,INE547D01016
777,Tulasee Bio Ethanol Ltd,INE276N01011
778,Tulip Star Hotels Ltd,INE379C01016
779,Tulsi Extrusions Ltd,INE474I01012
780,Modulex Construction Technologies Ltd,INE064R01012
781,Tuticorin Alkali Chemicals & Fertilisers Ltd,INE400A01014
782,Pulsar International Ltd,INE183U01014
783,Typhoon Financial Services Ltd,INE761R01013
784,Typhoon Holdings Ltd,NA
785,Sagar Systech Ltd,INE771Z01015
786,United Textiles Ltd,INE727E01012
787,Unity Infraprojects Ltd,INE466H01028
788,Universal Arts Ltd,INE464B01018
789,Shikhar Leasing & Trading Ltd,INE02BV01019
790,Uniworth Ltd,INE207A01013
791,USG Tech Solutions Ltd,INE718B01017
792,Ushdev International Ltd,INE981D01025
793,Usher Agro Ltd,INE235G01011
794,Vaishno Cement Company Ltd,INE116E01018
795,Vallabh Poly Plast International Ltd,INE862K01014
796,Vani Commercials Ltd,INE661Q01017
797,Vantage Knowledge Academy Ltd,INE427T01017
798,Vardhaman Laboratories Ltd,INE503F01014
799,Vardhman Concrete Ltd,INE115C01014
800,Vardhman Polytex Ltd,INE835A01011
801,Vas Infrastructure Ltd,INE192C01013
802,Vax Housing Finance Corporation Ltd,INE761B01017
803,VCCL Ltd,INE460E01010
804,VCK Capital Market Services Ltd,INE488C01015
805,Venlon Enterprises Ltd,INE204D01022
806,Ventura Textiles Ltd,INE810C01044
807,Venus Universal Ltd,INE381C01020
808,Vertical Industries Ltd,INE247Q01015
809,Viceroy Hotels Ltd,INE048C01017
810,Victory Paper & Boards India Ltd,INE962E01015
811,Vikalp Securities Ltd,INE186E01011
812,Vimal Oil & Foods Ltd,INE067D01015
813,Vinaditya Trading Company Ltd,INE952M01019
814,Vintage Securities Ltd,INE153C01015
815,Vintron Informatics Ltd,INE043B01028
816,Virgo Global Ltd,INE400B01020
817,Virtualsoft Systems Ltd,INE237C01016
818,Visco Trade Associates Ltd,INE890S01018
819,Vishvprabha Ventures Ltd,INE762D01011
820,Vision Cinemas Ltd,INE515B01025
821,Vistar Amar Ltd,INE878P01019
822,Visu International Ltd,INE965A01016
823,Vitan Agro Industries Ltd,INE186Q01023
824,Vivanza Biosciences Ltd,INE984E01027
825,Voltaire Leasing & Finance Ltd,INE763D01019
826,VR Woodart Ltd,INE317D01014
827,VSF Projects Ltd,INE923K01014
828,W. S. Industries (India) Ltd,INE100D01014
829,Welcure Drugs & Pharmaceuticals Ltd,INE331C01017
830,Wellesley Corporation Ltd,INE176O01011
831,Welterman International Ltd,INE662D01013
832,Williamson Financial Services Ltd,INE188E01017
833,Winsome Diamonds and Jewellery Ltd,INE664A01015
834,Winy Commercial & Fiscal Services Ltd,INE111C01013
835,Wisec Global Ltd,INE638C01015
836,Women Networks Ltd,INE905B01010
837,Sindu Valley Technologies Ltd,INE809Q01012
838,Worth Investment & Trading Co Ltd,INE114O01012
839,XL Energy Ltd,INE183H01011
840,Yantra Natural Resources Ltd,INE903B01023
841,Yarn Syndicate Ltd,INE564C01013
842,Sunedison Infrastructure Ltd,INE332F01018
843,Yuranus Infrastructure Ltd,INE156M01017
844,Yuvraaj Hygiene Products Ltd,INE139D01020
845,Zenith Birla (India) Ltd,INE318D01020
846,Zenith Capitals Ltd,INE132N01016
847,Zicom Electronic Security Systems Ltd,INE871B01014
848,Zylog Systems Ltd,INE225I01026
